('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max5')&standardscaler|minmaxscaler|GMeans: 0.713[intergal_metric=0.129] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 10, 'n_split_trials': 10, 'significance': 0.08867922802315097})[clusters:total_unique=600, max_size=15, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_norm_weighted')&minmaxscaler|GMeans: 0.683[intergal_metric=0.170] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 14, 'n_split_trials': 10, 'significance': 0.10531863605942986})[clusters:total_unique=600, max_size=17, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all')&standardscaler|minmaxscaler|GMeans: 0.703[intergal_metric=0.321] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 25, 'n_split_trials': 10, 'significance': 0.12958445971253574})[clusters:total_unique=600, max_size=12, average_size=2.1066666666666665]

('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all')&standardscaler|GMeans: 0.634[intergal_metric=0.298] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 25, 'n_split_trials': 500, 'significance': 0.13384588395827018})[clusters:total_unique=600, max_size=13, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all')&pca|standardscaler|GMeans: 0.505[intergal_metric=0.301] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 18, 'n_split_trials': 396, 'significance': 0.15750728172741243})[clusters:total_unique=600, max_size=128, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all')&pca|minmaxscaler|GMeans: 0.554[intergal_metric=0.249] -> OrderedDict({'max_n_clusters': 599, 'n_clusters_init': 24, 'n_split_trials': 498, 'significance': 0.01571776975973377})[clusters:total_unique=599, max_size=18, average_size=2.1101836393989983]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all')&pca|standardscaler|minmaxscaler|GMeans: 0.584[intergal_metric=0.256] -> OrderedDict({'max_n_clusters': 598, 'n_clusters_init': 24, 'n_split_trials': 83, 'significance': 0.004772226495019951})[clusters:total_unique=598, max_size=15, average_size=2.1137123745819397]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all')&minmaxscaler|GMeans: 0.624[intergal_metric=0.295] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 15, 'n_split_trials': 457, 'significance': 0.14611718270750737})[clusters:total_unique=600, max_size=18, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_norm')&standardscaler|GMeans: 0.644[intergal_metric=0.141] -> OrderedDict({'max_n_clusters': 598, 'n_clusters_init': 22, 'n_split_trials': 489, 'significance': 0.1970576074999965})[clusters:total_unique=598, max_size=12, average_size=2.1137123745819397]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_norm')&pca|standardscaler|GMeans: 0.505[intergal_metric=0.131] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 25, 'n_split_trials': 489, 'significance': 0.15812361950869505})[clusters:total_unique=600, max_size=160, average_size=2.1066666666666665]
